Date,Close,High,Low,Open,Volume,Ticker,Return_1d,Return_3d,Return_5d,Return_10d,Momentum_5d,Momentum_10d,MA_5,MA_10,MA_20,MA_50,Volatility_5,Volatility_10,Volatility_20,MA_5_vs_20,MA_10_vs_50,Close_vs_MA_10,Close_vs_MA_20,Close_vs_MA_50,RSI_14,Stoch_K,Intraday_Range,Open_Close_Gap,Volume_Change,Volume_Z,Weekday,Month,Return_1d_lag_1,Return_1d_lag_2,Return_1d_lag_3,Return_1d_lag_4,Return_1d_lag_5,Future_Return,Target
2015-03-16,27.783695220947266,27.783695220947266,27.32119080820845,27.54577168246317,143497200,AAPL,0.011003799664550229,0.022169393732025533,-0.017225174334125293,-0.03207053459041975,-0.017225174334125293,-0.03207053459041975,27.560894393920897,27.968033218383788,28.3976300239563,26.562142791748048,0.01731981603949788,0.012886250212484502,0.013711579973233615,-0.029464981032907733,0.052928351362997006,-0.006591024688691882,-0.021619226762624844,0.04598847460373978,32.7106309119106,33.299737261688094,0.016646612664758698,0.0023461463349922053,-0.3078107483893624,-1.322438218520884,0,3,-0.0069101495833198134,0.0180791465530743,-0.018231305564408218,-0.020685983083624015,0.004265392760601339,0.011364720720428823,1
2015-03-17,28.24842643737793,28.310686551220204,27.939348231903164,27.994937861613888,204092400,AAPL,0.01672676052393074,0.020811574340299677,0.020319782586200708,-0.017934617303257294,0.020319782586200708,-0.017934617303257294,27.67340850830078,27.916445541381837,28.388846397399902,26.642813453674318,0.015987643743118854,0.014304425280608634,0.014193376988422306,-0.0252013723658967,0.04780396371884943,0.011891947185897367,-0.004946307365093716,0.06026439311656784,45.533389672430474,58.54991681685526,0.01314545148701417,0.007603115387882526,0.42227444159189176,-0.4043614716842194,1,3,0.011003799664550229,-0.0069101495833198134,0.0180791465530743,-0.018231305564408218,-0.020685983083624015,-0.020544470673168225,0
2015-03-18,28.566404342651367,28.71983229121008,28.099451708101018,28.23953698952777,261083600,AAPL,0.01125648205496832,0.039485320563121595,0.05096546646599398,-0.0005444711982810491,0.05096546646599398,-0.0005444711982810491,27.950468063354492,27.914889335632324,28.38606700897217,26.743487281799318,0.00998820011784422,0.014747877749289942,0.014339384453580954,-0.015345519528295104,0.04380139513930259,0.023339336910335184,0.006353022897543248,0.06816302756793657,44.97173166761042,76.51021129228747,0.02171713932448946,-0.00031468824891415066,0.2792421471843145,0.3681936597189033,2,3,0.01672676052393074,0.011003799664550229,-0.0069101495833198134,0.0180791465530743,-0.018231305564408218,-0.032848049976286986,0
2015-03-19,28.350717544555664,28.73984504026525,28.328482026950223,28.628665755776797,183238000,AAPL,-0.007550365650102808,0.020408456078257586,0.024508061519527002,0.008623000889266486,0.024508061519527002,0.008623000889266486,28.086108016967774,27.93912715911865,28.375505447387695,26.839802894592285,0.011313980248079149,0.013868390410930468,0.014432908024882394,-0.010198846711524046,0.04095873091332791,0.014731683745627722,-0.0008735669177062366,0.05629380572939313,47.39134265611036,67.86176498547563,0.01450979195389095,0.0021795327258765347,-0.29816350012026804,-0.8232640063480442,3,3,0.01125648205496832,0.01672676052393074,0.011003799664550229,-0.0069101495833198134,0.0180791465530743,-0.01709829176528621,0
2015-03-20,27.99493980407715,28.550834443294974,27.830394963725297,28.517482020323033,274780400,AAPL,-0.012549161759993543,-0.008973478004614455,0.018690648894088335,-0.00552916264878367,0.018690648894088335,-0.00552916264878367,28.188836669921876,27.923562240600585,28.33548059463501,26.922402763366698,0.012949115336085877,0.014503041524870967,0.014538101310311307,-0.0051752757191948495,0.03718685460705484,0.0025561768538535645,-0.012018175919780827,0.039838087637922515,41.765722327667056,53.77840195845161,0.025734632208952033,0.00588219594461001,0.4995819644396904,0.5024635969152701,4,3,-0.007550365650102808,0.01125648205496832,0.01672676052393074,0.011003799664550229,-0.0069101495833198134,0.011517017544851793,1
2015-03-23,28.286222457885742,28.428531751485263,28.132794561536645,28.266211008689215,150838800,AAPL,0.010404832296377009,-0.009808090700000882,0.018087127466025477,0.0005503992080944098,0.018087127466025477,0.0005503992080944098,28.28934211730957,27.925118255615235,28.271107578277586,26.992489318847657,0.012868068324791324,0.014851053930902807,0.0132511826322805,0.0006449884915720183,0.03455142375906628,0.012931161077460951,0.0005346405182855563,0.04792937486261151,44.7328561245898,70.27672853458415,0.01045516736598283,0.009690008498341505,-0.45105691672331794,-1.2362221173817791,0,3,-0.012549161759993543,-0.007550365650102808,0.01125648205496832,0.01672676052393074,0.011003799664550229,-0.009433095212198817,0
2015-03-24,28.170604705810547,28.470786706839743,28.141697009126034,28.29067852409887,131369200,AAPL,-0.00408742285214414,-0.006353025755417074,-0.0027549050117853247,0.017508898503530324,-0.0027549050117853247,0.017508898503530324,28.273777770996094,27.973593139648436,28.210181617736815,27.059732093811036,0.01078065007223172,0.013085633833862588,0.013224828233100835,0.0022543687992173655,0.03377199163203892,0.007042769413946992,-0.0014029300648452647,0.04105260939569999,45.40029653490939,63.728108468150864,0.011682024619295085,0.00015753486418206738,-0.12907554289745082,-1.3555957470280777,1,3,0.010404832296377009,-0.012549161759993543,-0.007550365650102808,0.01125648205496832,0.01672676052393074,-0.008603873791344419,0
2015-03-25,27.434595108032227,28.199509002111668,27.434595108032227,28.13724888449329,206620800,AAPL,-0.026126865413950817,-0.020015927877198525,-0.039620290360774635,0.009325909525464304,-0.039620290360774635,0.009325909525464304,28.047415924072265,27.99894199371338,28.15003356933594,27.12448051452637,0.013262020476659434,0.014582150978118717,0.013277196066503015,-0.0036453826959359503,0.032238828637425776,-0.020156007530851228,-0.025415190342190086,0.01143301503377292,42.88397631564527,22.040330124528708,0.02788136260321524,-0.0011840647961091847,0.5728252893372268,-0.23852672537007677,2,3,-0.00408742285214414,0.010404832296377009,-0.012549161759993543,-0.007550365650102808,0.01125648205496832,0.02577409358931604,1
2015-03-26,27.625822067260742,27.768131384433865,27.261154229947007,27.296732407470724,190291600,AAPL,0.0069702854543871595,-0.023347069111410823,-0.025568858218691815,-0.001687439849372474,-0.025568858218691815,-0.001687439849372474,27.902436828613283,27.994272422790527,28.081324958801268,27.1887565612793,0.014872235155620767,0.013523261556212736,0.013003581290192905,-0.006370359320667207,0.029626800317098745,-0.013161633564365283,-0.016220847563596208,0.016075229663275126,44.62656093571967,32.87147568799224,0.018351568081938625,-0.005025140703503192,-0.07902979758088247,-0.3958958547142857,3,3,-0.026126865413950817,-0.00408742285214414,0.010404832296377009,-0.012549161759993543,-0.007550365650102808,0.023019925521374107,1
2015-03-27,27.405685424804688,27.728104574747505,27.330084348278795,27.699198580157148,158184800,AAPL,-0.007968510110580085,-0.027153101220013354,-0.021048603190303772,-0.0027513663481563144,-0.021048603190303772,-0.0027513663481563144,27.78458595275879,27.986711311340333,28.02340030670166,27.250490417480467,0.014431482729944415,0.01358659462420658,0.012734166166913629,-0.00852196205061384,0.02701679428813497,-0.020760777501578453,-0.02204282403764002,0.0056951271315346386,41.32078107745512,21.259634569815113,0.014523272098440718,0.002656084322767145,-0.16872421063252396,-0.8400257127708393,4,3,0.0069702854543871595,-0.026126865413950817,-0.00408742285214414,0.010404832296377009,-0.012549161759993543,0.02920916016678743,1
