Date,Close,High,Low,Open,Volume,Ticker
2015-01-02,24.214893341064453,24.68222562747745,23.776353422468404,24.671150729967486,212818400,AAPL
2015-01-05,23.532712936401367,24.064275731276037,23.346666887580582,23.98454122755526,257142000,AAPL
2015-01-06,23.534936904907227,23.794073292366384,23.173916188735014,23.59695227731193,263188400,AAPL
2015-01-07,23.864946365356445,23.96461367890052,23.632387047364233,23.74312925787633,160423600,AAPL
2015-01-08,24.78189468383789,24.8394811133024,24.075358755914475,24.192746932459276,237458000,AAPL
2015-01-09,24.8084659576416,25.083106116593303,24.409793396428064,24.954644770225418,214798000,AAPL
2015-01-12,24.197174072265625,24.945790840272345,24.097506754292127,24.93914657771306,198603200,AAPL
2015-01-13,24.412019729614258,24.983450095288372,24.121875600672528,24.680015748447666,268367600,AAPL
2015-01-14,24.318992614746094,24.471815731969652,24.031062161775676,24.1506639642499,195826400,AAPL
2015-01-15,23.65896224975586,24.376571193466866,23.623525626380783,24.363282670925187,240056000,AAPL
2015-01-16,23.475128173828125,23.827289204880216,23.30015531673568,23.705472124059003,314053200,AAPL
2015-01-20,24.07978630065918,24.13515740540139,23.588090620181628,23.88487893049971,199599600,AAPL
2015-01-21,24.26361846923828,24.59805872103091,23.98011699709323,24.13072646769229,194303600,AAPL
2015-01-22,24.894851684570312,24.91035552795961,24.301273310849446,24.420875112620685,215185600,AAPL
2015-01-23,25.023311614990234,25.19385388237781,24.702158177998953,24.872702135178624,185859200,AAPL
2015-01-26,25.049888610839844,25.32895946484357,24.983444295938444,25.191638510380002,222460000,AAPL
2015-01-27,24.172807693481445,24.91256648080197,24.148444273882177,24.899276267516615,382274800,AAPL
2015-01-28,25.539369583129883,26.161741992686807,25.539369583129883,26.05321340320937,585908400,AAPL
2015-01-29,26.334501266479492,26.398731959324124,25.594742329744967,25.763070983758755,337745600,AAPL
2015-01-30,25.949113845825195,26.57812874843811,25.880452530833228,26.22375403641732,334982000,AAPL
2015-02-02,26.274700164794922,26.39430197270769,25.709915821075615,26.146240465741013,250956400,AAPL
2015-02-03,26.279130935668945,26.37658294685454,26.048786899589032,26.245907929445366,207662800,AAPL
2015-02-04,26.480674743652344,26.691085940867783,26.20381923925721,26.245901816658677,280598800,AAPL
2015-02-05,26.669679641723633,26.734163811771065,26.516251730353517,26.687467032819562,168984800,AAPL
2015-02-06,26.445100784301758,26.73861398429588,26.33836794045799,26.687470774515095,174826400,AAPL
2015-02-09,26.620765686035156,26.64744762610821,26.33392295502217,26.36060659155632,155559200,AAPL
2015-02-10,27.132183074951172,27.16109076531462,26.71859783100896,26.720820194528688,248034000,AAPL
2015-02-11,27.768138885498047,27.777033432281677,27.238926075331964,27.29896214554481,294247200,AAPL
2015-02-12,28.119464874267578,28.346271568231803,27.92156588046305,28.030521105976927,297898000,AAPL
